tgl_perawatan,total_jumlah_per_hari
2020-01-01,21
2020-01-02,55
2020-01-03,12
2020-01-04,23
2020-01-05,9
2020-01-06,134
2020-01-07,74
2020-01-08,70
2020-01-09,44
2020-01-10,24
2020-01-11,10
2020-01-12,0
2020-01-13,95
2020-01-14,90
2020-01-15,64
2020-01-16,51
2020-01-17,8
2020-01-18,6
2020-01-19,13
2020-01-20,92
2020-01-21,82
2020-01-22,74
2020-01-23,30
2020-01-24,64
2020-01-25,11
2020-01-26,7
2020-01-27,79
2020-01-28,116
2020-01-29,49
2020-01-30,74
2020-01-31,26
2020-02-01,0
2020-02-02,7
2020-02-03,49
2020-02-04,86
2020-02-05,16
2020-02-06,82
2020-02-07,39
2020-02-08,20
2020-02-09,12
2020-02-10,90
2020-02-11,88
2020-02-12,81
2020-02-13,23
2020-02-14,18
2020-02-15,4
2020-02-16,14
2020-02-17,84
2020-02-18,35
2020-02-19,47
2020-02-20,48
2020-02-21,22
2020-02-22,2
2020-02-23,8
2020-02-24,55
2020-02-25,161
2020-02-26,93
2020-02-27,145
2020-02-28,37
2020-02-29,15
2020-03-01,9
2020-03-02,99
2020-03-03,107
2020-03-04,78
2020-03-05,38
2020-03-06,79
2020-03-07,14
2020-03-08,3
2020-03-09,46
2020-03-10,57
2020-03-11,189
2020-03-12,123
2020-03-13,26
2020-03-14,11
2020-03-15,29
2020-03-16,50
2020-03-17,64
2020-03-18,91
2020-03-19,42
2020-03-20,51
2020-03-21,0
2020-03-22,5
2020-03-23,32
2020-03-24,45
2020-03-25,1
2020-03-26,131
2020-03-27,51
2020-03-28,4
2020-03-29,14
2020-03-30,28
2020-03-31,51
2020-04-01,22
2020-04-02,21
2020-04-03,10
2020-04-04,7
2020-04-05,0
2020-04-06,23
2020-04-07,78
2020-04-08,28
2020-04-09,59
2020-04-10,21
2020-04-11,5
2020-04-12,6
2020-04-13,38
2020-04-14,32
2020-04-15,25
2020-04-16,56
2020-04-17,13
2020-04-18,4
2020-04-19,3
2020-04-20,29
2020-04-21,34
2020-04-22,31
2020-04-23,25
2020-04-24,19
2020-04-25,9
2020-04-26,3
2020-04-27,34
2020-04-28,45
2020-04-29,36
2020-04-30,74
2020-05-01,7
2020-05-02,14
2020-05-03,10
2020-05-04,48
2020-05-05,73
2020-05-06,57
2020-05-07,15
2020-05-08,24
2020-05-09,6
2020-05-10,7
2020-05-11,28
2020-05-12,75
2020-05-13,53
2020-05-14,10
2020-05-15,30
2020-05-16,11
2020-05-17,8
2020-05-18,37
2020-05-19,45
2020-05-20,99
2020-05-21,2
2020-05-22,5
2020-05-23,5
2020-05-24,14
2020-05-25,9
2020-05-26,49
2020-05-27,71
2020-05-28,27
2020-05-29,44
2020-05-30,5
2020-05-31,10
2020-06-01,9
2020-06-02,57
2020-06-03,67
2020-06-04,28
2020-06-05,50
2020-06-06,8
2020-06-07,41
2020-06-08,38
2020-06-09,63
2020-06-10,51
2020-06-11,61
2020-06-12,30
2020-06-13,3
2020-06-14,9
2020-06-15,21
2020-06-16,52
2020-06-17,54
2020-06-18,72
2020-06-19,13
2020-06-20,3
2020-06-21,3
2020-06-22,48
2020-06-23,33
2020-06-24,24
2020-06-25,55
2020-06-26,3
2020-06-27,9
2020-06-28,6
2020-06-29,35
2020-06-30,29
2020-07-01,28
2020-07-02,86
2020-07-03,14
2020-07-04,0
2020-07-05,39
2020-07-06,8
2020-07-07,30
2020-07-08,20
2020-07-09,56
2020-07-10,19
2020-07-11,12
2020-07-12,9
2020-07-13,58
2020-07-14,27
2020-07-15,21
2020-07-16,107
2020-07-17,7
2020-07-18,14
2020-07-19,10
2020-07-20,55
2020-07-21,43
2020-07-22,41
2020-07-23,29
2020-07-24,4
2020-07-25,8
2020-07-26,1
2020-07-27,43
2020-07-28,60
2020-07-29,38
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,5
2020-08-04,30
2020-08-05,17
2020-08-06,21
2020-08-07,43
2020-08-08,13
2020-08-09,0
2020-08-10,31
2020-08-11,37
2020-08-12,40
2020-08-13,40
2020-08-14,38
2020-08-15,8
2020-08-16,0
2020-08-17,0
2020-08-18,73
2020-08-19,55
2020-08-20,0
2020-08-21,6
2020-08-22,1
2020-08-23,3
2020-08-24,91
2020-08-25,23
2020-08-26,44
2020-08-27,114
2020-08-28,35
2020-08-29,9
2020-08-30,5
2020-08-31,29
2020-09-01,12
2020-09-02,45
2020-09-03,15
2020-09-04,12
2020-09-05,11
2020-09-06,15
2020-09-07,24
2020-09-08,52
2020-09-09,21
2020-09-10,9
2020-09-11,36
2020-09-12,5
2020-09-13,4
2020-09-14,26
2020-09-15,28
2020-09-16,56
2020-09-17,15
2020-09-18,2
2020-09-19,2
2020-09-20,5
2020-09-21,80
2020-09-22,55
2020-09-23,36
2020-09-24,40
2020-09-25,12
2020-09-26,0
2020-09-27,3
2020-09-28,46
2020-09-29,36
2020-09-30,23
2020-10-01,14
2020-10-02,5
2020-10-03,4
2020-10-04,8
2020-10-05,52
2020-10-06,39
2020-10-07,25
2020-10-08,41
2020-10-09,5
2020-10-10,5
2020-10-11,9
2020-10-12,9
2020-10-13,16
2020-10-14,2
2020-10-15,0
2020-10-16,7
2020-10-17,2
2020-10-18,0
2020-10-19,1
2020-10-20,10
2020-10-21,8
2020-10-22,8
2020-10-23,11
2020-10-24,1
2020-10-25,3
2020-10-26,5
2020-10-27,3
2020-10-28,0
2020-10-29,0
2020-10-30,15
2020-10-31,0
2020-11-01,5
2020-11-02,26
2020-11-03,41
2020-11-04,42
2020-11-05,46
2020-11-06,42
2020-11-07,0
2020-11-08,15
2020-11-09,59
2020-11-10,53
2020-11-11,7
2020-11-12,34
2020-11-13,69
2020-11-14,32
2020-11-15,3
2020-11-16,35
2020-11-17,23
2020-11-18,57
2020-11-19,14
2020-11-20,2
2020-11-21,4
2020-11-22,0
2020-11-23,35
2020-11-24,44
2020-11-25,21
2020-11-26,16
2020-11-27,19
2020-11-28,0
2020-11-29,5
2020-11-30,56
2020-12-01,30
2020-12-02,53
2020-12-03,23
2020-12-04,19
2020-12-05,13
2020-12-06,3
2020-12-07,28
2020-12-08,36
2020-12-09,8
2020-12-10,147
2020-12-11,33
2020-12-12,14
2020-12-13,1
2020-12-14,7
2020-12-15,31
2020-12-16,8
2020-12-17,147
2020-12-18,1
2020-12-19,13
2020-12-20,4
2020-12-21,37
2020-12-22,31
2020-12-23,12
2020-12-24,4
2020-12-25,16
2020-12-26,17
2020-12-27,6
2020-12-28,63
2020-12-29,49
2020-12-30,77
2020-12-31,4
2021-01-01,8
2021-01-02,4
2021-01-03,9
2021-01-04,81
2021-01-05,53
2021-01-06,24
2021-01-07,35
2021-01-08,35
2021-01-09,0
2021-01-10,2
2021-01-11,75
2021-01-12,89
2021-01-13,43
2021-01-14,38
2021-01-15,26
2021-01-16,1
2021-01-17,10
2021-01-18,67
2021-01-19,61
2021-01-20,43
2021-01-21,34
2021-01-22,55
2021-01-23,6
2021-01-24,5
2021-01-25,51
2021-01-26,44
2021-01-27,49
2021-01-28,41
2021-01-29,34
2021-01-30,1
2021-01-31,10
2021-02-01,54
2021-02-02,38
2021-02-03,46
2021-02-04,59
2021-02-05,9
2021-02-06,5
2021-02-07,3
2021-02-08,40
2021-02-09,76
2021-02-10,47
2021-02-11,121
2021-02-12,1
2021-02-13,12
2021-02-14,2
2021-02-15,12
2021-02-16,73
2021-02-17,99
2021-02-18,11
2021-02-19,10
2021-02-20,1
2021-02-21,9
