tgl_perawatan,total_jumlah_per_hari
2020-01-01,149
2020-01-02,868
2020-01-03,207
2020-01-04,46
2020-01-05,13
2020-01-06,1268
2020-01-07,686
2020-01-08,511
2020-01-09,665
2020-01-10,206
2020-01-11,100
2020-01-12,26
2020-01-13,1053
2020-01-14,937
2020-01-15,763
2020-01-16,924
2020-01-17,419
2020-01-18,48
2020-01-19,83
2020-01-20,941
2020-01-21,760
2020-01-22,566
2020-01-23,870
2020-01-24,265
2020-01-25,73
2020-01-26,53
2020-01-27,1046
2020-01-28,814
2020-01-29,1055
2020-01-30,901
2020-01-31,398
2020-02-01,46
2020-02-02,93
2020-02-03,1025
2020-02-04,959
2020-02-05,763
2020-02-06,718
2020-02-07,273
2020-02-08,48
2020-02-09,35
2020-02-10,835
2020-02-11,848
2020-02-12,940
2020-02-13,979
2020-02-14,298
2020-02-15,58
2020-02-16,88
2020-02-17,855
2020-02-18,875
2020-02-19,848
2020-02-20,1070
2020-02-21,308
2020-02-22,88
2020-02-23,36
2020-02-24,807
2020-02-25,1346
2020-02-26,990
2020-02-27,928
2020-02-28,450
2020-02-29,58
2020-03-01,80
2020-03-02,1098
2020-03-03,1231
2020-03-04,1062
2020-03-05,986
2020-03-06,517
2020-03-07,88
2020-03-08,22
2020-03-09,808
2020-03-10,1110
2020-03-11,984
2020-03-12,1127
2020-03-13,403
2020-03-14,113
2020-03-15,33
2020-03-16,1086
2020-03-17,1089
2020-03-18,962
2020-03-19,856
2020-03-20,501
2020-03-21,102
2020-03-22,70
2020-03-23,849
2020-03-24,928
2020-03-25,30
2020-03-26,1158
2020-03-27,309
2020-03-28,62
2020-03-29,26
2020-03-30,701
2020-03-31,805
2020-04-01,360
2020-04-02,952
2020-04-03,233
2020-04-04,108
2020-04-05,22
2020-04-06,801
2020-04-07,931
2020-04-08,599
2020-04-09,1203
2020-04-10,36
2020-04-11,146
2020-04-12,28
2020-04-13,793
2020-04-14,1029
2020-04-15,652
2020-04-16,1165
2020-04-17,219
2020-04-18,46
