tgl_perawatan,total_jumlah_per_hari
2020-01-01,15
2020-01-02,10
2020-01-03,4
2020-01-04,0
2020-01-05,3
2020-01-06,1
2020-01-07,0
2020-01-08,35
2020-01-09,0
2020-01-10,25
2020-01-11,16
2020-01-12,0
2020-01-13,7
2020-01-14,17
2020-01-15,25
2020-01-16,34
2020-01-17,3
2020-01-18,3
2020-01-19,0
2020-01-20,19
2020-01-21,13
2020-01-22,12
2020-01-23,13
2020-01-24,4
2020-01-25,4
2020-01-26,0
2020-01-27,0
2020-01-28,6
2020-01-29,9
2020-01-30,9
2020-01-31,8
2020-02-01,10
2020-02-02,5
2020-02-03,0
2020-02-04,1
2020-02-05,2
2020-02-06,1
2020-02-07,8
2020-02-08,1
2020-02-09,3
2020-02-10,9
2020-02-11,7
2020-02-12,9
2020-02-13,37
2020-02-14,15
2020-02-15,0
2020-02-16,0
2020-02-17,3
2020-02-18,24
2020-02-19,23
2020-02-20,8
2020-02-21,6
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,30
2020-02-26,15
2020-02-27,13
2020-02-28,0
2020-02-29,0
2020-03-01,2
2020-03-02,8
2020-03-03,15
2020-03-04,10
2020-03-05,12
2020-03-06,0
2020-03-07,6
2020-03-08,0
2020-03-09,0
2020-03-10,30
2020-03-11,16
2020-03-12,15
2020-03-13,15
2020-03-14,4
2020-03-15,5
2020-03-16,11
2020-03-17,26
2020-03-18,35
2020-03-19,18
2020-03-20,3
2020-03-21,0
2020-03-22,1
2020-03-23,18
2020-03-24,22
2020-03-25,0
2020-03-26,0
2020-03-27,27
2020-03-28,1
2020-03-29,3
2020-03-30,0
2020-03-31,18
2020-04-01,17
2020-04-02,0
2020-04-03,21
2020-04-04,22
2020-04-05,0
2020-04-06,2
2020-04-07,13
2020-04-08,6
2020-04-09,24
2020-04-10,0
2020-04-11,1
2020-04-12,6
2020-04-13,7
2020-04-14,33
2020-04-15,15
2020-04-16,25
2020-04-17,20
2020-04-18,5
2020-04-19,1
2020-04-20,1
2020-04-21,39
2020-04-22,3
2020-04-23,3
2020-04-24,3
2020-04-25,3
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,19
2020-04-30,4
2020-05-01,1
2020-05-02,5
2020-05-03,0
2020-05-04,9
2020-05-05,28
2020-05-06,15
2020-05-07,0
2020-05-08,7
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,13
2020-05-13,19
2020-05-14,11
2020-05-15,24
2020-05-16,1
2020-05-17,4
2020-05-18,3
2020-05-19,1
2020-05-20,9
2020-05-21,1
2020-05-22,0
2020-05-23,8
