tgl_perawatan,total_jumlah_per_hari
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,404
2020-01-07,116
2020-01-08,57
2020-01-09,0
2020-01-10,0
2020-01-11,12
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,222
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,269
2020-01-29,158
2020-01-30,8
2020-01-31,3
2020-02-01,0
2020-02-02,0
2020-02-03,243
2020-02-04,139
2020-02-05,258
2020-02-06,0
2020-02-07,1
2020-02-08,0
2020-02-09,3
2020-02-10,281
2020-02-11,254
2020-02-12,132
2020-02-13,14
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,226
2020-02-18,144
2020-02-19,125
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,240
2020-02-25,144
2020-02-26,151
2020-02-27,7
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,201
2020-03-03,99
2020-03-04,109
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,232
2020-03-10,124
2020-03-11,112
2020-03-12,14
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,287
2020-03-17,193
2020-03-18,164
2020-03-19,0
2020-03-20,18
2020-03-21,0
2020-03-22,0
2020-03-23,186
2020-03-24,172
2020-03-25,0
2020-03-26,42
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,197
2020-03-31,194
2020-04-01,112
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,173
2020-04-07,194
2020-04-08,91
2020-04-09,91
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,180
2020-04-14,194
2020-04-15,161
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,181
2020-04-21,176
2020-04-22,105
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,103
2020-04-28,159
2020-04-29,124
2020-04-30,0
2020-05-01,0
2020-05-02,28
2020-05-03,0
2020-05-04,86
2020-05-05,197
2020-05-06,153
2020-05-07,1
2020-05-08,1
