tgl_perawatan,total_jumlah_per_hari
2020-01-01,3
2020-01-02,45
2020-01-03,83
2020-01-04,13
2020-01-05,6
2020-01-06,233
2020-01-07,38
2020-01-08,218
2020-01-09,119
2020-01-10,18
2020-01-11,16
2020-01-12,26
2020-01-13,130
2020-01-14,63
2020-01-15,84
2020-01-16,3
2020-01-17,9
2020-01-18,3
2020-01-19,3
2020-01-20,0
2020-01-21,17
2020-01-22,0
2020-01-23,182
2020-01-24,40
2020-01-25,15
2020-01-26,21
2020-01-27,78
2020-01-28,127
2020-01-29,131
2020-01-30,175
2020-01-31,12
2020-02-01,13
2020-02-02,0
2020-02-03,122
2020-02-04,71
2020-02-05,135
2020-02-06,0
2020-02-07,108
2020-02-08,0
2020-02-09,22
2020-02-10,114
2020-02-11,78
2020-02-12,252
2020-02-13,270
2020-02-14,96
2020-02-15,0
2020-02-16,15
2020-02-17,91
2020-02-18,210
2020-02-19,149
2020-02-20,179
2020-02-21,129
2020-02-22,0
2020-02-23,9
2020-02-24,73
2020-02-25,107
2020-02-26,172
2020-02-27,116
2020-02-28,29
2020-02-29,0
2020-03-01,12
2020-03-02,49
2020-03-03,117
2020-03-04,130
2020-03-05,101
2020-03-06,66
2020-03-07,0
2020-03-08,3
2020-03-09,128
2020-03-10,63
2020-03-11,0
2020-03-12,0
2020-03-13,38
2020-03-14,0
2020-03-15,16
2020-03-16,105
2020-03-17,43
2020-03-18,220
2020-03-19,83
2020-03-20,69
2020-03-21,0
2020-03-22,3
2020-03-23,55
2020-03-24,35
2020-03-25,0
2020-03-26,205
2020-03-27,38
2020-03-28,0
2020-03-29,14
2020-03-30,91
2020-03-31,80
2020-04-01,168
2020-04-02,126
2020-04-03,48
2020-04-04,21
2020-04-05,9
2020-04-06,71
2020-04-07,96
2020-04-08,42
2020-04-09,195
2020-04-10,20
2020-04-11,16
2020-04-12,21
2020-04-13,68
2020-04-14,97
2020-04-15,108
2020-04-16,0
2020-04-17,0
2020-04-18,9
2020-04-19,15
2020-04-20,3
2020-04-21,132
2020-04-22,113
2020-04-23,45
2020-04-24,13
2020-04-25,22
2020-04-26,39
2020-04-27,17
2020-04-28,141
2020-04-29,48
2020-04-30,148
2020-05-01,3
2020-05-02,0
2020-05-03,0
2020-05-04,36
2020-05-05,122
2020-05-06,208
2020-05-07,0
2020-05-08,73
2020-05-09,5
2020-05-10,5
2020-05-11,140
2020-05-12,33
2020-05-13,97
2020-05-14,175
2020-05-15,60
2020-05-16,0
2020-05-17,0
2020-05-18,116
2020-05-19,38
2020-05-20,119
2020-05-21,3
2020-05-22,12
2020-05-23,21
2020-05-24,14
2020-05-25,2
2020-05-26,82
2020-05-27,39
2020-05-28,261
2020-05-29,113
2020-05-30,0
2020-05-31,6
2020-06-01,28
2020-06-02,32
2020-06-03,159
2020-06-04,0
2020-06-05,204
2020-06-06,19
2020-06-07,27
2020-06-08,67
2020-06-09,100
2020-06-10,166
2020-06-11,220
2020-06-12,45
2020-06-13,3
2020-06-14,28
2020-06-15,51
2020-06-16,58
2020-06-17,138
2020-06-18,0
2020-06-19,102
2020-06-20,0
2020-06-21,3
2020-06-22,45
2020-06-23,72
2020-06-24,54
2020-06-25,0
2020-06-26,34
2020-06-27,9
2020-06-28,6
2020-06-29,121
2020-06-30,3
2020-07-01,39
2020-07-02,0
2020-07-03,109
2020-07-04,0
2020-07-05,63
2020-07-06,14
2020-07-07,62
2020-07-08,95
2020-07-09,0
2020-07-10,234
2020-07-11,20
2020-07-12,22
2020-07-13,79
2020-07-14,73
2020-07-15,93
2020-07-16,69
2020-07-17,242
2020-07-18,15
2020-07-19,18
2020-07-20,70
2020-07-21,59
