tgl_perawatan,total_jumlah_per_hari
2020-01-01,35
2020-01-02,355
2020-01-03,179
2020-01-04,55
2020-01-05,6
2020-01-06,519
2020-01-07,232
2020-01-08,310
2020-01-09,521
2020-01-10,298
2020-01-11,43
2020-01-12,12
2020-01-13,408
2020-01-14,203
2020-01-15,454
2020-01-16,500
2020-01-17,205
2020-01-18,64
2020-01-19,58
2020-01-20,432
2020-01-21,311
2020-01-22,392
2020-01-23,417
2020-01-24,225
2020-01-25,10
2020-01-26,10
2020-01-27,495
2020-01-28,387
2020-01-29,486
2020-01-30,522
2020-01-31,294
2020-02-01,10
2020-02-02,85
2020-02-03,372
2020-02-04,211
2020-02-05,171
2020-02-06,765
2020-02-07,141
2020-02-08,49
2020-02-09,23
2020-02-10,245
2020-02-11,287
2020-02-12,280
2020-02-13,447
2020-02-14,148
2020-02-15,38
2020-02-16,2
2020-02-17,260
2020-02-18,198
2020-02-19,535
2020-02-20,545
2020-02-21,115
2020-02-22,5
2020-02-23,10
2020-02-24,183
2020-02-25,360
2020-02-26,516
2020-02-27,567
2020-02-28,211
2020-02-29,0
2020-03-01,20
2020-03-02,309
2020-03-03,394
2020-03-04,343
2020-03-05,0
2020-03-06,335
2020-03-07,58
2020-03-08,9
2020-03-09,350
2020-03-10,268
2020-03-11,332
2020-03-12,817
2020-03-13,281
2020-03-14,18
2020-03-15,1
2020-03-16,369
2020-03-17,487
2020-03-18,372
2020-03-19,777
2020-03-20,221
2020-03-21,30
2020-03-22,510
2020-03-23,213
2020-03-24,258
2020-03-25,15
2020-03-26,531
2020-03-27,117
2020-03-28,0
2020-03-29,0
2020-03-30,282
2020-03-31,125
2020-04-01,185
2020-04-02,387
2020-04-03,104
2020-04-04,29
2020-04-05,0
2020-04-06,223
2020-04-07,176
2020-04-08,129
2020-04-09,241
2020-04-10,13
2020-04-11,30
2020-04-12,2
2020-04-13,197
2020-04-14,269
2020-04-15,55
2020-04-16,307
2020-04-17,110
2020-04-18,3
2020-04-19,17
2020-04-20,261
2020-04-21,380
2020-04-22,104
2020-04-23,271
2020-04-24,58
2020-04-25,41
2020-04-26,0
2020-04-27,156
2020-04-28,393
2020-04-29,256
2020-04-30,70
2020-05-01,14
2020-05-02,0
2020-05-03,0
2020-05-04,244
2020-05-05,253
2020-05-06,288
2020-05-07,6
2020-05-08,111
2020-05-09,5
2020-05-10,2
2020-05-11,375
2020-05-12,395
2020-05-13,208
2020-05-14,117
2020-05-15,106
2020-05-16,0
2020-05-17,13
2020-05-18,296
2020-05-19,405
2020-05-20,341
2020-05-21,6
2020-05-22,94
2020-05-23,40
2020-05-24,0
2020-05-25,30
2020-05-26,377
2020-05-27,222
2020-05-28,128
2020-05-29,101
2020-05-30,2
2020-05-31,31
2020-06-01,18
2020-06-02,214
2020-06-03,585
2020-06-04,535
2020-06-05,174
2020-06-06,0
2020-06-07,6
2020-06-08,125
2020-06-09,424
2020-06-10,366
2020-06-11,380
2020-06-12,149
2020-06-13,33
2020-06-14,13
2020-06-15,341
2020-06-16,320
2020-06-17,436
2020-06-18,294
2020-06-19,322
2020-06-20,47
2020-06-21,24
2020-06-22,472
2020-06-23,414
2020-06-24,261
2020-06-25,511
2020-06-26,217
2020-06-27,15
2020-06-28,10
2020-06-29,496
2020-06-30,295
2020-07-01,259
2020-07-02,427
2020-07-03,206
2020-07-04,44
2020-07-05,60
2020-07-06,325
2020-07-07,371
2020-07-08,480
2020-07-09,382
2020-07-10,298
2020-07-11,45
2020-07-12,15
2020-07-13,343
2020-07-14,368
2020-07-15,406
2020-07-16,497
2020-07-17,274
2020-07-18,0
2020-07-19,0
2020-07-20,325
2020-07-21,364
2020-07-22,309
2020-07-23,560
2020-07-24,219
2020-07-25,3
2020-07-26,0
2020-07-27,348
2020-07-28,187
2020-07-29,219
2020-07-30,0
2020-07-31,40
2020-08-01,0
2020-08-02,10
2020-08-03,10
2020-08-04,325
2020-08-05,276
2020-08-06,257
2020-08-07,136
2020-08-08,0
2020-08-09,20
2020-08-10,90
2020-08-11,298
2020-08-12,289
2020-08-13,239
2020-08-14,50
2020-08-15,19
2020-08-16,0
2020-08-17,0
2020-08-18,262
2020-08-19,361
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,3
2020-08-24,249
2020-08-25,236
2020-08-26,398
2020-08-27,470
2020-08-28,80
2020-08-29,33
2020-08-30,0
2020-08-31,171
2020-09-01,286
2020-09-02,410
2020-09-03,342
2020-09-04,131
2020-09-05,43
2020-09-06,3
2020-09-07,358
2020-09-08,192
2020-09-09,251
2020-09-10,354
2020-09-11,113
2020-09-12,15
2020-09-13,10
2020-09-14,301
2020-09-15,356
2020-09-16,297
2020-09-17,446
2020-09-18,116
2020-09-19,13
2020-09-20,0
2020-09-21,301
2020-09-22,262
2020-09-23,281
2020-09-24,502
2020-09-25,105
2020-09-26,15
2020-09-27,0
2020-09-28,239
2020-09-29,232
2020-09-30,216
2020-10-01,613
2020-10-02,128
2020-10-03,0
2020-10-04,0
2020-10-05,232
2020-10-06,287
2020-10-07,310
2020-10-08,546
2020-10-09,102
2020-10-10,0
2020-10-11,4
2020-10-12,268
2020-10-13,202
2020-10-14,276
2020-10-15,506
2020-10-16,119
2020-10-17,15
2020-10-18,60
2020-10-19,329
2020-10-20,326
2020-10-21,346
2020-10-22,502
2020-10-23,179
2020-10-24,20
2020-10-25,0
2020-10-26,184
2020-10-27,143
2020-10-28,30
2020-10-29,45
2020-10-30,0
2020-10-31,15
