tgl_perawatan,total_jumlah_per_hari
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,62
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,10
2020-01-24,44
2020-01-25,0
2020-01-26,0
2020-01-27,236
2020-01-28,208
2020-01-29,80
2020-01-30,418
2020-01-31,282
2020-02-01,28
2020-02-02,92
2020-02-03,472
2020-02-04,430
2020-02-05,365
2020-02-06,336
2020-02-07,96
2020-02-08,139
2020-02-09,81
2020-02-10,325
2020-02-11,455
2020-02-12,378
2020-02-13,443
2020-02-14,216
2020-02-15,114
2020-02-16,69
2020-02-17,313
2020-02-18,257
2020-02-19,320
2020-02-20,549
2020-02-21,265
2020-02-22,55
2020-02-23,110
2020-02-24,243
2020-02-25,326
2020-02-26,409
2020-02-27,430
2020-02-28,258
2020-02-29,124
2020-03-01,221
2020-03-02,350
2020-03-03,316
2020-03-04,306
2020-03-05,378
2020-03-06,433
2020-03-07,78
2020-03-08,114
2020-03-09,393
2020-03-10,169
2020-03-11,212
2020-03-12,280
2020-03-13,295
2020-03-14,95
2020-03-15,94
2020-03-16,364
2020-03-17,258
2020-03-18,276
2020-03-19,331
2020-03-20,284
2020-03-21,15
2020-03-22,67
2020-03-23,393
2020-03-24,319
2020-03-25,31
2020-03-26,314
2020-03-27,260
2020-03-28,28
2020-03-29,82
2020-03-30,218
2020-03-31,374
2020-04-01,90
2020-04-02,188
2020-04-03,133
2020-04-04,129
2020-04-05,76
2020-04-06,183
2020-04-07,290
2020-04-08,207
2020-04-09,178
2020-04-10,33
2020-04-11,63
2020-04-12,114
2020-04-13,322
2020-04-14,273
2020-04-15,234
2020-04-16,310
2020-04-17,119
2020-04-18,73
2020-04-19,176
2020-04-20,339
2020-04-21,398
2020-04-22,236
2020-04-23,191
2020-04-24,117
2020-04-25,112
2020-04-26,76
2020-04-27,121
2020-04-28,266
2020-04-29,221
2020-04-30,88
2020-05-01,27
2020-05-02,61
2020-05-03,6
2020-05-04,286
2020-05-05,257
2020-05-06,193
2020-05-07,44
2020-05-08,295
