tgl_perawatan,total_jumlah_per_hari
2020-01-01,2
2020-01-02,7
2020-01-03,4
2020-01-04,6
2020-01-05,7
2020-01-06,14
2020-01-07,3
2020-01-08,1
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,15
2020-01-16,30
2020-01-17,97
2020-01-18,4
2020-01-19,1
2020-01-20,68
2020-01-21,26
2020-01-22,107
2020-01-23,111
2020-01-24,45
2020-01-25,0
2020-01-26,0
2020-01-27,111
2020-01-28,73
2020-01-29,120
2020-01-30,171
2020-01-31,38
2020-02-01,10
2020-02-02,7
2020-02-03,49
2020-02-04,6
2020-02-05,172
2020-02-06,0
2020-02-07,65
2020-02-08,11
2020-02-09,0
2020-02-10,53
2020-02-11,6
2020-02-12,0
2020-02-13,0
2020-02-14,75
2020-02-15,11
2020-02-16,26
2020-02-17,2
2020-02-18,0
2020-02-19,26
2020-02-20,218
2020-02-21,47
2020-02-22,7
2020-02-23,21
2020-02-24,34
2020-02-25,33
2020-02-26,161
2020-02-27,128
2020-02-28,114
2020-02-29,22
2020-03-01,11
2020-03-02,97
2020-03-03,37
2020-03-04,81
2020-03-05,119
2020-03-06,99
2020-03-07,14
2020-03-08,13
2020-03-09,35
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,113
2020-03-14,0
2020-03-15,0
2020-03-16,13
2020-03-17,7
2020-03-18,4
2020-03-19,4
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,10
2020-03-24,17
2020-03-25,0
2020-03-26,178
2020-03-27,17
2020-03-28,1
2020-03-29,15
2020-03-30,29
2020-03-31,3
2020-04-01,160
2020-04-02,49
2020-04-03,0
2020-04-04,4
2020-04-05,6
2020-04-06,1
2020-04-07,22
2020-04-08,43
2020-04-09,0
2020-04-10,4
2020-04-11,1
2020-04-12,3
2020-04-13,6
2020-04-14,8
2020-04-15,106
2020-04-16,0
2020-04-17,113
2020-04-18,4
2020-04-19,8
2020-04-20,39
2020-04-21,23
2020-04-22,32
2020-04-23,120
2020-04-24,120
2020-04-25,8
2020-04-26,0
2020-04-27,7
2020-04-28,25
2020-04-29,8
2020-04-30,208
2020-05-01,6
2020-05-02,5
2020-05-03,11
2020-05-04,18
2020-05-05,27
2020-05-06,39
2020-05-07,7
2020-05-08,0
2020-05-09,3
2020-05-10,2
2020-05-11,23
2020-05-12,12
2020-05-13,32
2020-05-14,0
2020-05-15,0
2020-05-16,17
2020-05-17,7
2020-05-18,47
2020-05-19,5
2020-05-20,17
2020-05-21,10
2020-05-22,45
2020-05-23,8
2020-05-24,9
2020-05-25,7
2020-05-26,27
2020-05-27,95
2020-05-28,0
2020-05-29,93
2020-05-30,9
2020-05-31,26
2020-06-01,32
2020-06-02,65
2020-06-03,67
2020-06-04,0
2020-06-05,0
2020-06-06,6
2020-06-07,6
2020-06-08,16
2020-06-09,24
2020-06-10,37
2020-06-11,218
2020-06-12,14
2020-06-13,1
2020-06-14,3
2020-06-15,28
2020-06-16,9
2020-06-17,55
2020-06-18,0
2020-06-19,0
2020-06-20,4
2020-06-21,8
2020-06-22,20
2020-06-23,41
2020-06-24,16
2020-06-25,0
2020-06-26,102
2020-06-27,11
2020-06-28,3
2020-06-29,11
2020-06-30,24
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,7
2020-07-05,15
2020-07-06,20
2020-07-07,7
2020-07-08,55
2020-07-09,106
2020-07-10,0
2020-07-11,4
2020-07-12,8
2020-07-13,13
2020-07-14,17
2020-07-15,21
2020-07-16,134
2020-07-17,0
2020-07-18,15
2020-07-19,11
2020-07-20,30
2020-07-21,1
2020-07-22,37
2020-07-23,0
2020-07-24,0
2020-07-25,5
2020-07-26,4
2020-07-27,43
2020-07-28,10
2020-07-29,15
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,2
2020-08-04,8
2020-08-05,30
2020-08-06,211
2020-08-07,77
2020-08-08,2
2020-08-09,1
2020-08-10,14
2020-08-11,14
2020-08-12,7
2020-08-13,31
2020-08-14,0
2020-08-15,1
2020-08-16,0
2020-08-17,0
2020-08-18,14
2020-08-19,81
2020-08-20,5
2020-08-21,2
2020-08-22,2
2020-08-23,0
2020-08-24,28
2020-08-25,7
2020-08-26,37
2020-08-27,0
2020-08-28,0
2020-08-29,5
2020-08-30,0
2020-08-31,13
2020-09-01,44
2020-09-02,10
2020-09-03,0
2020-09-04,131
2020-09-05,11
2020-09-06,3
2020-09-07,20
2020-09-08,8
2020-09-09,7
2020-09-10,15
2020-09-11,114
2020-09-12,0
2020-09-13,1
2020-09-14,36
2020-09-15,33
2020-09-16,31
2020-09-17,115
2020-09-18,0
2020-09-19,9
2020-09-20,10
2020-09-21,25
2020-09-22,15
2020-09-23,35
2020-09-24,86
2020-09-25,22
2020-09-26,0
2020-09-27,1
2020-09-28,35
2020-09-29,43
2020-09-30,14
