tgl_perawatan,total_jumlah_per_hari
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,14
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,1
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,1
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,1
2020-01-23,4
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,90
2020-01-29,77
2020-01-30,30
2020-01-31,24
2020-02-01,0
2020-02-02,7
2020-02-03,75
2020-02-04,65
2020-02-05,33
2020-02-06,42
2020-02-07,8
2020-02-08,2
2020-02-09,2
2020-02-10,104
2020-02-11,102
2020-02-12,96
2020-02-13,28
2020-02-14,3
2020-02-15,1
2020-02-16,4
2020-02-17,94
2020-02-18,83
2020-02-19,99
2020-02-20,19
2020-02-21,1
2020-02-22,1
2020-02-23,4
2020-02-24,78
2020-02-25,127
2020-02-26,110
2020-02-27,39
2020-02-28,5
2020-02-29,2
2020-03-01,12
2020-03-02,56
2020-03-03,113
2020-03-04,71
2020-03-05,33
2020-03-06,2
2020-03-07,1
2020-03-08,1
2020-03-09,103
2020-03-10,74
2020-03-11,68
2020-03-12,34
2020-03-13,0
2020-03-14,8
2020-03-15,2
2020-03-16,71
2020-03-17,128
2020-03-18,116
2020-03-19,25
2020-03-20,29
2020-03-21,0
2020-03-22,13
2020-03-23,79
2020-03-24,96
2020-03-25,0
2020-03-26,46
2020-03-27,17
2020-03-28,0
2020-03-29,0
2020-03-30,63
2020-03-31,190
2020-04-01,47
2020-04-02,15
2020-04-03,2
2020-04-04,3
2020-04-05,1
2020-04-06,70
2020-04-07,116
2020-04-08,29
2020-04-09,56
2020-04-10,6
2020-04-11,19
2020-04-12,2
2020-04-13,99
2020-04-14,89
2020-04-15,79
2020-04-16,53
2020-04-17,10
2020-04-18,20
2020-04-19,4
2020-04-20,71
2020-04-21,111
2020-04-22,64
2020-04-23,7
2020-04-24,3
2020-04-25,6
2020-04-26,0
2020-04-27,65
2020-04-28,104
2020-04-29,72
2020-04-30,0
2020-05-01,11
2020-05-02,0
2020-05-03,0
2020-05-04,63
2020-05-05,89
2020-05-06,111
2020-05-07,7
2020-05-08,8
