tgl_perawatan,total_jumlah_per_hari
2020-01-01,0
2020-01-02,262
2020-01-03,52
2020-01-04,18
2020-01-05,1
2020-01-06,176
2020-01-07,42
2020-01-08,185
2020-01-09,354
2020-01-10,37
2020-01-11,0
2020-01-12,10
2020-01-13,109
2020-01-14,102
2020-01-15,129
2020-01-16,246
2020-01-17,28
2020-01-18,13
2020-01-19,12
2020-01-20,214
2020-01-21,114
2020-01-22,84
2020-01-23,326
2020-01-24,37
2020-01-25,17
2020-01-26,0
2020-01-27,238
2020-01-28,178
2020-01-29,224
2020-01-30,341
2020-01-31,1
2020-02-01,0
2020-02-02,21
2020-02-03,127
2020-02-04,196
2020-02-05,160
2020-02-06,0
2020-02-07,73
2020-02-08,18
2020-02-09,2
2020-02-10,231
2020-02-11,218
2020-02-12,0
2020-02-13,354
2020-02-14,31
2020-02-15,8
2020-02-16,12
2020-02-17,150
2020-02-18,354
2020-02-19,115
2020-02-20,290
2020-02-21,18
2020-02-22,10
2020-02-23,2
2020-02-24,111
2020-02-25,150
2020-02-26,168
2020-02-27,0
2020-02-28,121
2020-02-29,16
2020-03-01,0
2020-03-02,122
2020-03-03,234
2020-03-04,302
2020-03-05,347
2020-03-06,37
2020-03-07,20
2020-03-08,1
2020-03-09,138
2020-03-10,141
2020-03-11,0
2020-03-12,92
2020-03-13,15
2020-03-14,30
2020-03-15,0
2020-03-16,98
2020-03-17,89
2020-03-18,156
2020-03-19,117
2020-03-20,2
2020-03-21,20
2020-03-22,5
2020-03-23,56
2020-03-24,61
2020-03-25,0
2020-03-26,294
2020-03-27,21
2020-03-28,1
2020-03-29,1
2020-03-30,65
2020-03-31,21
2020-04-01,309
2020-04-02,224
2020-04-03,0
2020-04-04,18
2020-04-05,0
2020-04-06,127
2020-04-07,93
2020-04-08,93
2020-04-09,261
2020-04-10,13
2020-04-11,12
2020-04-12,0
2020-04-13,99
2020-04-14,196
2020-04-15,64
2020-04-16,0
2020-04-17,240
2020-04-18,20
2020-04-19,0
2020-04-20,62
2020-04-21,247
2020-04-22,95
2020-04-23,297
2020-04-24,27
2020-04-25,6
2020-04-26,4
2020-04-27,75
2020-04-28,246
2020-04-29,109
2020-04-30,128
2020-05-01,14
2020-05-02,0
2020-05-03,1
2020-05-04,150
2020-05-05,157
2020-05-06,147
2020-05-07,20
2020-05-08,72
2020-05-09,1
2020-05-10,1
2020-05-11,125
2020-05-12,74
2020-05-13,84
2020-05-14,180
2020-05-15,218
2020-05-16,1
2020-05-17,1
2020-05-18,187
2020-05-19,164
2020-05-20,165
2020-05-21,22
2020-05-22,21
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,105
2020-05-28,0
2020-05-29,100
2020-05-30,42
2020-05-31,4
2020-06-01,5
2020-06-02,36
2020-06-03,0
2020-06-04,338
2020-06-05,105
2020-06-06,0
2020-06-07,0
2020-06-08,44
2020-06-09,154
2020-06-10,155
2020-06-11,182
2020-06-12,15
2020-06-13,10
2020-06-14,10
2020-06-15,91
2020-06-16,239
2020-06-17,293
2020-06-18,0
2020-06-19,184
2020-06-20,14
2020-06-21,0
2020-06-22,117
2020-06-23,62
2020-06-24,0
2020-06-25,2
2020-06-26,24
2020-06-27,0
2020-06-28,0
2020-06-29,15
2020-06-30,146
2020-07-01,77
2020-07-02,343
2020-07-03,6
2020-07-04,0
2020-07-05,13
2020-07-06,131
2020-07-07,43
2020-07-08,178
2020-07-09,0
2020-07-10,111
2020-07-11,0
2020-07-12,2
2020-07-13,135
2020-07-14,26
2020-07-15,128
2020-07-16,0
2020-07-17,234
2020-07-18,2
2020-07-19,0
2020-07-20,194
2020-07-21,80
2020-07-22,67
2020-07-23,357
2020-07-24,132
2020-07-25,0
2020-07-26,0
2020-07-27,22
2020-07-28,0
2020-07-29,112
2020-07-30,0
2020-07-31,0
2020-08-01,0
2020-08-02,0
2020-08-03,0
2020-08-04,310
2020-08-05,70
2020-08-06,36
2020-08-07,90
2020-08-08,0
2020-08-09,0
2020-08-10,77
2020-08-11,206
2020-08-12,100
2020-08-13,42
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,161
2020-08-19,59
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,127
2020-08-25,153
2020-08-26,42
2020-08-27,180
2020-08-28,0
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-09-01,0
2020-09-02,18
2020-09-03,35
2020-09-04,114
2020-09-05,0
2020-09-06,20
2020-09-07,122
2020-09-08,73
2020-09-09,14
2020-09-10,36
2020-09-11,105
2020-09-12,2
2020-09-13,1
2020-09-14,127
2020-09-15,56
2020-09-16,30
2020-09-17,142
2020-09-18,64
2020-09-19,0
2020-09-20,0
2020-09-21,42
2020-09-22,99
2020-09-23,65
2020-09-24,56
2020-09-25,30
2020-09-26,0
2020-09-27,0
2020-09-28,43
2020-09-29,56
2020-09-30,122
2020-10-01,134
2020-10-02,84
2020-10-03,0
2020-10-04,9
2020-10-05,115
2020-10-06,126
2020-10-07,152
2020-10-08,217
2020-10-09,28
2020-10-10,0
2020-10-11,0
2020-10-12,85
2020-10-13,148
2020-10-14,239
2020-10-15,203
2020-10-16,14
2020-10-17,0
2020-10-18,0
2020-10-19,193
2020-10-20,202
2020-10-21,0
2020-10-22,0
2020-10-23,251
2020-10-24,24
2020-10-25,0
2020-10-26,100
2020-10-27,63
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,215
2020-11-03,264
2020-11-04,146
2020-11-05,220
2020-11-06,211
2020-11-07,0
2020-11-08,22
2020-11-09,269
2020-11-10,240
2020-11-11,119
2020-11-12,313
2020-11-13,91
2020-11-14,22
2020-11-15,2
2020-11-16,147
2020-11-17,282
2020-11-18,101
2020-11-19,313
2020-11-20,207
2020-11-21,0
2020-11-22,0
2020-11-23,114
2020-11-24,257
2020-11-25,159
2020-11-26,270
2020-11-27,144
2020-11-28,0
2020-11-29,4
2020-11-30,185
2020-12-01,265
2020-12-02,132
2020-12-03,260
2020-12-04,3
2020-12-05,0
2020-12-06,0
2020-12-07,126
2020-12-08,226
2020-12-09,0
2020-12-10,0
2020-12-11,7
2020-12-12,2
2020-12-13,0
2020-12-14,87
2020-12-15,133
2020-12-16,130
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,114
2020-12-22,107
2020-12-23,105
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,20
2020-12-28,161
2020-12-29,232
2020-12-30,91
2020-12-31,0
2021-01-01,2
2021-01-02,0
2021-01-03,0
2021-01-04,134
2021-01-05,199
2021-01-06,77
2021-01-07,159
2021-01-08,222
2021-01-09,2
2021-01-10,0
2021-01-11,140
2021-01-12,124
2021-01-13,192
2021-01-14,251
2021-01-15,119
2021-01-16,0
2021-01-17,6
2021-01-18,28
2021-01-19,0
2021-01-20,87
2021-01-21,124
2021-01-22,114
2021-01-23,5
2021-01-24,0
2021-01-25,94
2021-01-26,146
2021-01-27,236
2021-01-28,273
2021-01-29,144
2021-01-30,8
2021-01-31,20
2021-02-01,231
2021-02-02,204
2021-02-03,266
2021-02-04,221
2021-02-05,145
2021-02-06,0
2021-02-07,0
2021-02-08,140
2021-02-09,162
2021-02-10,215
2021-02-11,325
2021-02-12,5
2021-02-13,5
2021-02-14,0
2021-02-15,138
2021-02-16,176
2021-02-17,189
2021-02-18,317
2021-02-19,26
2021-02-20,10
2021-02-21,0
2021-02-22,177
2021-02-23,151
2021-02-24,171
2021-02-25,109
2021-02-26,107
2021-02-27,0
2021-02-28,0
2021-03-01,128
2021-03-02,227
2021-03-03,213
2021-03-04,86
2021-03-05,186
2021-03-06,0
2021-03-07,0
2021-03-08,183
2021-03-09,125
2021-03-10,234
2021-03-11,0
2021-03-12,12
2021-03-13,10
2021-03-14,2
2021-03-15,206
2021-03-16,133
2021-03-17,231
2021-03-18,0
2021-03-19,156
2021-03-20,0
2021-03-21,15
2021-03-22,217
2021-03-23,167
2021-03-24,228
2021-03-25,1
2021-03-26,15
2021-03-27,0
2021-03-28,1
2021-03-29,211
2021-03-30,146
2021-03-31,300
2021-04-01,0
2021-04-02,0
2021-04-03,21
2021-04-04,4
2021-04-05,213
2021-04-06,102
2021-04-07,230
2021-04-08,307
2021-04-09,84
2021-04-10,0
2021-04-11,0
2021-04-12,153
2021-04-13,72
2021-04-14,134
2021-04-15,157
2021-04-16,83
2021-04-17,33
2021-04-18,0
2021-04-19,103
2021-04-20,153
2021-04-21,128
2021-04-22,15
2021-04-23,0
2021-04-24,0
2021-04-25,0
2021-04-26,0
2021-04-27,5
2021-04-28,0
2021-04-29,56
2021-04-30,2
2021-05-01,43
2021-05-02,2
2021-05-03,16
2021-05-04,68
2021-05-05,31
2021-05-06,116
2021-05-07,22
