tgl_perawatan,total_jumlah_per_hari
2020-01-01,10
2020-01-02,56
2020-01-03,35
2020-01-04,19
2020-01-05,0
2020-01-06,48
2020-01-07,39
2020-01-08,42
2020-01-09,117
2020-01-10,78
2020-01-11,30
2020-01-12,18
2020-01-13,21
2020-01-14,99
2020-01-15,42
2020-01-16,93
2020-01-17,61
2020-01-18,15
2020-01-19,45
2020-01-20,20
2020-01-21,0
2020-01-22,92
2020-01-23,59
2020-01-24,119
2020-01-25,0
2020-01-26,1
2020-01-27,42
2020-01-28,0
2020-01-29,116
2020-01-30,19
2020-01-31,58
2020-02-01,16
2020-02-02,0
2020-02-03,6
2020-02-04,42
2020-02-05,3
2020-02-06,71
2020-02-07,8
2020-02-08,0
2020-02-09,10
2020-02-10,15
2020-02-11,68
2020-02-12,28
2020-02-13,123
2020-02-14,36
2020-02-15,9
2020-02-16,16
2020-02-17,24
2020-02-18,0
2020-02-19,0
2020-02-20,15
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,22
2020-02-25,24
2020-02-26,45
2020-02-27,64
2020-02-28,28
2020-02-29,0
2020-03-01,6
2020-03-02,14
2020-03-03,44
2020-03-04,29
2020-03-05,28
2020-03-06,45
2020-03-07,3
2020-03-08,3
2020-03-09,11
2020-03-10,0
2020-03-11,70
2020-03-12,40
2020-03-13,0
2020-03-14,32
2020-03-15,1
2020-03-16,21
2020-03-17,78
2020-03-18,3
2020-03-19,66
2020-03-20,21
2020-03-21,0
2020-03-22,18
2020-03-23,0
2020-03-24,63
2020-03-25,3
2020-03-26,31
2020-03-27,24
2020-03-28,21
2020-03-29,6
2020-03-30,0
2020-03-31,24
2020-04-01,27
2020-04-02,91
2020-04-03,9
2020-04-04,6
2020-04-05,3
2020-04-06,3
2020-04-07,0
2020-04-08,67
2020-04-09,10
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,3
2020-04-14,3
2020-04-15,3
2020-04-16,34
2020-04-17,16
2020-04-18,0
2020-04-19,2
2020-04-20,54
2020-04-21,21
2020-04-22,47
2020-04-23,21
2020-04-24,0
2020-04-25,3
2020-04-26,6
2020-04-27,30
2020-04-28,21
2020-04-29,7
2020-04-30,24
2020-05-01,3
2020-05-02,3
2020-05-03,0
2020-05-04,32
2020-05-05,78
2020-05-06,69
2020-05-07,3
2020-05-08,12
2020-05-09,18
2020-05-10,3
2020-05-11,10
2020-05-12,77
2020-05-13,31
2020-05-14,0
2020-05-15,10
2020-05-16,0
2020-05-17,3
2020-05-18,0
2020-05-19,21
2020-05-20,63
2020-05-21,10
2020-05-22,15
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,10
2020-05-27,34
2020-05-28,31
2020-05-29,24
2020-05-30,3
2020-05-31,3
2020-06-01,16
2020-06-02,0
2020-06-03,63
2020-06-04,70
2020-06-05,6
2020-06-06,25
2020-06-07,9
2020-06-08,16
2020-06-09,3
2020-06-10,6
2020-06-11,72
2020-06-12,15
2020-06-13,0
2020-06-14,6
2020-06-15,26
2020-06-16,52
2020-06-17,13
2020-06-18,66
2020-06-19,0
2020-06-20,3
2020-06-21,5
2020-06-22,24
2020-06-23,82
2020-06-24,18
2020-06-25,45
2020-06-26,23
2020-06-27,0
2020-06-28,0
2020-06-29,37
2020-06-30,0
2020-07-01,66
2020-07-02,21
2020-07-03,33
2020-07-04,10
2020-07-05,0
2020-07-06,0
2020-07-07,3
2020-07-08,39
2020-07-09,21
2020-07-10,23
2020-07-11,15
2020-07-12,17
2020-07-13,15
2020-07-14,35
2020-07-15,21
2020-07-16,11
2020-07-17,20
2020-07-18,6
2020-07-19,0
2020-07-20,24
2020-07-21,0
2020-07-22,6
2020-07-23,43
2020-07-24,0
2020-07-25,12
2020-07-26,6
2020-07-27,6
2020-07-28,63
2020-07-29,56
2020-07-30,0
2020-07-31,6
2020-08-01,3
2020-08-02,3
2020-08-03,6
2020-08-04,0
2020-08-05,29
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,0
2020-08-11,8
2020-08-12,0
2020-08-13,36
2020-08-14,0
2020-08-15,12
2020-08-16,3
2020-08-17,10
2020-08-18,17
2020-08-19,10
2020-08-20,0
2020-08-21,5
2020-08-22,0
2020-08-23,0
2020-08-24,21
2020-08-25,21
2020-08-26,25
2020-08-27,26
2020-08-28,5
2020-08-29,3
2020-08-30,3
2020-08-31,12
2020-09-01,0
2020-09-02,36
2020-09-03,50
2020-09-04,18
2020-09-05,15
2020-09-06,94
2020-09-07,34
2020-09-08,9
2020-09-09,0
2020-09-10,7
2020-09-11,65
2020-09-12,0
2020-09-13,10
2020-09-14,18
2020-09-15,57
2020-09-16,41
2020-09-17,21
2020-09-18,7
2020-09-19,7
2020-09-20,0
2020-09-21,39
2020-09-22,57
2020-09-23,40
2020-09-24,72
2020-09-25,45
2020-09-26,13
2020-09-27,9
2020-09-28,102
2020-09-29,37
2020-09-30,13
2020-10-01,55
2020-10-02,41
2020-10-03,3
2020-10-04,27
2020-10-05,72
2020-10-06,67
2020-10-07,47
2020-10-08,10
2020-10-09,3
2020-10-10,0
2020-10-11,12
2020-10-12,112
2020-10-13,30
2020-10-14,64
2020-10-15,0
2020-10-16,68
2020-10-17,10
2020-10-18,21
2020-10-19,61
2020-10-20,45
2020-10-21,55
2020-10-22,107
2020-10-23,0
