tgl_perawatan,total_jumlah_per_hari
2020-01-01,73
2020-01-02,38
2020-01-03,18
2020-01-04,45
2020-01-05,0
2020-01-06,129
2020-01-07,128
2020-01-08,15
2020-01-09,40
2020-01-10,27
2020-01-11,16
2020-01-12,6
2020-01-13,22
2020-01-14,9
2020-01-15,36
2020-01-16,0
2020-01-17,30
2020-01-18,0
2020-01-19,15
2020-01-20,35
2020-01-21,34
2020-01-22,26
2020-01-23,35
2020-01-24,6
2020-01-25,0
2020-01-26,15
2020-01-27,34
2020-01-28,22
2020-01-29,73
2020-01-30,0
2020-01-31,21
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,12
2020-02-05,0
2020-02-06,30
2020-02-07,23
2020-02-08,0
2020-02-09,0
2020-02-10,3
2020-02-11,20
2020-02-12,10
2020-02-13,0
2020-02-14,25
2020-02-15,50
2020-02-16,15
2020-02-17,42
2020-02-18,75
2020-02-19,50
2020-02-20,25
2020-02-21,20
2020-02-22,30
2020-02-23,0
2020-02-24,30
2020-02-25,13
2020-02-26,96
2020-02-27,108
2020-02-28,60
2020-02-29,28
2020-03-01,115
2020-03-02,50
2020-03-03,72
2020-03-04,51
2020-03-05,58
2020-03-06,32
2020-03-07,77
2020-03-08,60
2020-03-09,89
2020-03-10,60
2020-03-11,40
2020-03-12,101
2020-03-13,40
2020-03-14,6
2020-03-15,58
2020-03-16,80
2020-03-17,37
2020-03-18,103
2020-03-19,45
2020-03-20,33
2020-03-21,0
2020-03-22,13
2020-03-23,42
2020-03-24,96
2020-03-25,0
2020-03-26,21
2020-03-27,3
2020-03-28,0
2020-03-29,0
2020-03-30,36
2020-03-31,39
2020-04-01,63
2020-04-02,31
2020-04-03,0
2020-04-04,24
2020-04-05,0
2020-04-06,30
2020-04-07,26
2020-04-08,20
2020-04-09,47
2020-04-10,0
2020-04-11,48
2020-04-12,58
2020-04-13,80
2020-04-14,110
2020-04-15,30
2020-04-16,30
2020-04-17,42
2020-04-18,48
2020-04-19,84
2020-04-20,117
2020-04-21,100
2020-04-22,37
2020-04-23,21
2020-04-24,50
2020-04-25,40
2020-04-26,51
2020-04-27,35
2020-04-28,77
2020-04-29,10
2020-04-30,46
2020-05-01,22
2020-05-02,33
2020-05-03,0
2020-05-04,65
2020-05-05,80
2020-05-06,26
2020-05-07,13
2020-05-08,30
2020-05-09,36
2020-05-10,70
2020-05-11,55
2020-05-12,90
2020-05-13,76
2020-05-14,54
2020-05-15,84
2020-05-16,10
2020-05-17,33
2020-05-18,87
2020-05-19,16
2020-05-20,30
2020-05-21,45
2020-05-22,40
2020-05-23,55
2020-05-24,103
2020-05-25,15
