tgl_perawatan,total_jumlah_per_hari
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,21
2020-01-21,25
2020-01-22,16
2020-01-23,5
2020-01-24,30
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,21
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,30
2020-02-04,7
2020-02-05,7
2020-02-06,30
2020-02-07,0
2020-02-08,0
2020-02-09,1
2020-02-10,7
2020-02-11,21
2020-02-12,0
2020-02-13,5
2020-02-14,7
2020-02-15,0
2020-02-16,0
2020-02-17,14
2020-02-18,0
2020-02-19,21
2020-02-20,23
2020-02-21,7
2020-02-22,0
2020-02-23,0
2020-02-24,7
2020-02-25,15
2020-02-26,0
2020-02-27,24
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,3
2020-03-03,11
2020-03-04,7
2020-03-05,2
2020-03-06,21
2020-03-07,5
2020-03-08,0
2020-03-09,0
2020-03-10,7
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,8
2020-03-15,1
2020-03-16,20
2020-03-17,7
2020-03-18,0
2020-03-19,9
2020-03-20,8
2020-03-21,7
2020-03-22,6
2020-03-23,3
2020-03-24,14
2020-03-25,0
2020-03-26,35
2020-03-27,15
2020-03-28,0
2020-03-29,5
2020-03-30,21
2020-03-31,7
2020-04-01,7
2020-04-02,13
2020-04-03,6
2020-04-04,0
2020-04-05,5
2020-04-06,1
2020-04-07,54
2020-04-08,22
2020-04-09,32
2020-04-10,1
2020-04-11,0
2020-04-12,3
2020-04-13,12
2020-04-14,7
2020-04-15,23
2020-04-16,14
2020-04-17,0
2020-04-18,0
2020-04-19,3
2020-04-20,21
2020-04-21,0
2020-04-22,14
2020-04-23,7
2020-04-24,30
2020-04-25,0
2020-04-26,0
2020-04-27,7
2020-04-28,7
2020-04-29,0
2020-04-30,15
2020-05-01,1
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,21
2020-05-06,21
2020-05-07,5
2020-05-08,35
