tgl_perawatan,total_jumlah_per_hari
2020-01-01,47
2020-01-02,76
2020-01-03,114
2020-01-04,12
2020-01-05,37
2020-01-06,319
2020-01-07,286
2020-01-08,173
2020-01-09,118
2020-01-10,185
2020-01-11,26
2020-01-12,65
2020-01-13,264
2020-01-14,280
2020-01-15,174
2020-01-16,248
2020-01-17,136
2020-01-18,121
2020-01-19,6
2020-01-20,203
2020-01-21,318
2020-01-22,237
2020-01-23,249
2020-01-24,237
2020-01-25,20
2020-01-26,0
2020-01-27,451
2020-01-28,437
2020-01-29,228
2020-01-30,323
2020-01-31,261
2020-02-01,16
2020-02-02,10
2020-02-03,262
2020-02-04,184
2020-02-05,74
2020-02-06,396
2020-02-07,54
2020-02-08,10
2020-02-09,18
2020-02-10,324
2020-02-11,694
2020-02-12,162
2020-02-13,99
2020-02-14,111
2020-02-15,46
2020-02-16,40
2020-02-17,72
2020-02-18,123
2020-02-19,40
2020-02-20,25
2020-02-21,127
2020-02-22,18
2020-02-23,20
2020-02-24,16
2020-02-25,20
2020-02-26,52
2020-02-27,36
2020-02-28,20
2020-02-29,6
2020-03-01,10
2020-03-02,0
2020-03-03,55
2020-03-04,45
2020-03-05,24
2020-03-06,48
2020-03-07,0
2020-03-08,0
2020-03-09,36
2020-03-10,0
2020-03-11,13
2020-03-12,0
2020-03-13,20
2020-03-14,0
2020-03-15,0
2020-03-16,24
2020-03-17,30
2020-03-18,3
2020-03-19,21
2020-03-20,70
2020-03-21,0
2020-03-22,20
2020-03-23,25
2020-03-24,10
2020-03-25,0
2020-03-26,10
2020-03-27,0
2020-03-28,1
2020-03-29,0
2020-03-30,10
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,16
2020-04-04,0
2020-04-05,0
2020-04-06,26
2020-04-07,0
2020-04-08,26
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,2
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,2
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,7
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,10
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,10
2020-06-03,0
2020-06-04,20
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,20
2020-06-10,0
2020-06-11,17
2020-06-12,51
2020-06-13,0
2020-06-14,14
2020-06-15,6
2020-06-16,1
2020-06-17,0
2020-06-18,0
2020-06-19,10
2020-06-20,15
2020-06-21,24
2020-06-22,67
2020-06-23,360
2020-06-24,122
2020-06-25,345
2020-06-26,274
2020-06-27,14
2020-06-28,0
2020-06-29,318
2020-06-30,0
2020-07-01,202
2020-07-02,344
2020-07-03,142
2020-07-04,61
2020-07-05,57
2020-07-06,263
2020-07-07,439
2020-07-08,443
2020-07-09,230
2020-07-10,167
2020-07-11,40
2020-07-12,40
2020-07-13,225
2020-07-14,442
2020-07-15,307
2020-07-16,234
2020-07-17,231
2020-07-18,18
2020-07-19,10
2020-07-20,302
2020-07-21,405
2020-07-22,354
2020-07-23,278
2020-07-24,132
2020-07-25,30
2020-07-26,10
2020-07-27,284
2020-07-28,433
2020-07-29,154
2020-07-30,20
2020-07-31,10
2020-08-01,0
2020-08-02,20
2020-08-03,16
2020-08-04,477
2020-08-05,101
2020-08-06,11
2020-08-07,57
2020-08-08,30
2020-08-09,58
2020-08-10,111
2020-08-11,579
2020-08-12,143
2020-08-13,163
2020-08-14,125
2020-08-15,22
2020-08-16,30
2020-08-17,18
2020-08-18,559
2020-08-19,210
2020-08-20,10
2020-08-21,10
2020-08-22,0
2020-08-23,0
2020-08-24,266
2020-08-25,602
2020-08-26,190
2020-08-27,184
2020-08-28,131
2020-08-29,10
2020-08-30,50
2020-08-31,239
2020-09-01,495
2020-09-02,306
2020-09-03,199
2020-09-04,148
2020-09-05,70
2020-09-06,0
2020-09-07,345
2020-09-08,323
2020-09-09,161
2020-09-10,207
2020-09-11,168
2020-09-12,50
2020-09-13,20
2020-09-14,120
2020-09-15,0
2020-09-16,510
2020-09-17,447
2020-09-18,501
2020-09-19,40
2020-09-20,0
2020-09-21,370
2020-09-22,631
2020-09-23,502
2020-09-24,767
2020-09-25,395
2020-09-26,16
2020-09-27,70
2020-09-28,319
2020-09-29,750
2020-09-30,525
2020-10-01,568
2020-10-02,213
2020-10-03,25
2020-10-04,32
2020-10-05,470
2020-10-06,687
2020-10-07,684
2020-10-08,848
2020-10-09,259
2020-10-10,85
2020-10-11,20
2020-10-12,561
2020-10-13,702
2020-10-14,816
2020-10-15,759
2020-10-16,132
