tgl_perawatan,total_jumlah_per_hari
2020-01-01,45
2020-01-02,64
2020-01-03,94
2020-01-04,41
2020-01-05,26
2020-01-06,0
2020-01-07,198
2020-01-08,126
2020-01-09,108
2020-01-10,211
2020-01-11,12
2020-01-12,20
2020-01-13,186
2020-01-14,118
2020-01-15,196
2020-01-16,126
2020-01-17,200
2020-01-18,32
2020-01-19,26
2020-01-20,0
2020-01-21,0
2020-01-22,120
2020-01-23,50
2020-01-24,0
2020-01-25,2
2020-01-26,22
2020-01-27,208
2020-01-28,0
2020-01-29,90
2020-01-30,180
2020-01-31,0
2020-02-01,16
2020-02-02,35
2020-02-03,157
2020-02-04,182
2020-02-05,103
2020-02-06,90
2020-02-07,134
2020-02-08,26
2020-02-09,0
2020-02-10,82
2020-02-11,0
2020-02-12,75
2020-02-13,116
2020-02-14,122
2020-02-15,30
2020-02-16,26
2020-02-17,208
2020-02-18,0
2020-02-19,71
2020-02-20,165
2020-02-21,197
2020-02-22,8
2020-02-23,30
2020-02-24,203
2020-02-25,156
2020-02-26,143
2020-02-27,85
2020-02-28,0
2020-02-29,36
2020-03-01,2
2020-03-02,0
2020-03-03,176
2020-03-04,72
2020-03-05,108
2020-03-06,148
2020-03-07,50
2020-03-08,12
2020-03-09,158
2020-03-10,205
2020-03-11,40
2020-03-12,104
2020-03-13,110
2020-03-14,22
2020-03-15,10
2020-03-16,0
2020-03-17,194
2020-03-18,90
2020-03-19,79
2020-03-20,162
2020-03-21,0
2020-03-22,0
2020-03-23,133
2020-03-24,158
2020-03-25,10
2020-03-26,64
2020-03-27,52
2020-03-28,0
2020-03-29,0
2020-03-30,98
2020-03-31,50
2020-04-01,44
2020-04-02,34
2020-04-03,76
2020-04-04,19
2020-04-05,10
2020-04-06,74
2020-04-07,34
2020-04-08,115
2020-04-09,30
2020-04-10,10
2020-04-11,0
2020-04-12,2
2020-04-13,120
2020-04-14,45
2020-04-15,113
2020-04-16,92
2020-04-17,65
2020-04-18,6
2020-04-19,0
2020-04-20,220
2020-04-21,80
2020-04-22,93
2020-04-23,44
2020-04-24,100
2020-04-25,0
2020-04-26,10
2020-04-27,122
2020-04-28,120
2020-04-29,100
2020-04-30,20
2020-05-01,10
2020-05-02,0
2020-05-03,0
2020-05-04,44
2020-05-05,77
2020-05-06,65
2020-05-07,20
2020-05-08,0
2020-05-09,12
2020-05-10,17
2020-05-11,110
2020-05-12,14
2020-05-13,30
2020-05-14,65
2020-05-15,56
2020-05-16,40
2020-05-17,0
2020-05-18,101
2020-05-19,113
2020-05-20,52
2020-05-21,60
2020-05-22,48
2020-05-23,10
2020-05-24,0
2020-05-25,0
2020-05-26,56
2020-05-27,65
2020-05-28,36
2020-05-29,85
2020-05-30,0
2020-05-31,5
2020-06-01,0
2020-06-02,68
2020-06-03,161
2020-06-04,73
2020-06-05,20
2020-06-06,10
2020-06-07,0
2020-06-08,49
2020-06-09,54
2020-06-10,47
2020-06-11,57
2020-06-12,115
2020-06-13,16
2020-06-14,20
2020-06-15,189
2020-06-16,171
2020-06-17,140
2020-06-18,70
2020-06-19,130
2020-06-20,10
2020-06-21,30
2020-06-22,136
2020-06-23,128
2020-06-24,82
2020-06-25,90
2020-06-26,112
2020-06-27,40
2020-06-28,6
2020-06-29,220
2020-06-30,126
2020-07-01,69
2020-07-02,137
2020-07-03,121
2020-07-04,50
2020-07-05,10
2020-07-06,70
2020-07-07,198
2020-07-08,98
2020-07-09,94
2020-07-10,78
2020-07-11,0
2020-07-12,14
2020-07-13,141
2020-07-14,182
2020-07-15,152
2020-07-16,62
2020-07-17,86
2020-07-18,10
2020-07-19,2
2020-07-20,99
2020-07-21,117
2020-07-22,100
2020-07-23,84
2020-07-24,85
2020-07-25,36
2020-07-26,10
2020-07-27,68
2020-07-28,0
2020-07-29,15
2020-07-30,2
2020-07-31,0
2020-08-01,10
2020-08-02,0
2020-08-03,26
2020-08-04,58
2020-08-05,25
2020-08-06,45
2020-08-07,0
2020-08-08,0
2020-08-09,10
2020-08-10,0
2020-08-11,20
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,12
2020-08-16,0
2020-08-17,0
2020-08-18,10
2020-08-19,0
2020-08-20,10
2020-08-21,2
2020-08-22,10
2020-08-23,0
2020-08-24,11
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,10
2020-08-29,0
2020-08-30,10
2020-08-31,0
2020-09-01,20
2020-09-02,10
2020-09-03,0
2020-09-04,10
2020-09-05,34
2020-09-06,0
2020-09-07,0
2020-09-08,0
2020-09-09,0
2020-09-10,0
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,10
2020-09-18,26
2020-09-19,8
2020-09-20,6
2020-09-21,4
2020-09-22,6
2020-09-23,12
2020-09-24,0
2020-09-25,20
2020-09-26,10
2020-09-27,10
2020-09-28,0
2020-09-29,25
2020-09-30,6
2020-10-01,50
2020-10-02,15
2020-10-03,0
2020-10-04,0
2020-10-05,72
2020-10-06,60
2020-10-07,64
2020-10-08,30
2020-10-09,6
2020-10-10,10
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,10
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,10
2020-10-22,0
2020-10-23,16
2020-10-24,6
2020-10-25,0
2020-10-26,0
2020-10-27,11
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,3
2020-11-01,0
2020-11-02,0
2020-11-03,30
2020-11-04,32
2020-11-05,46
2020-11-06,42
2020-11-07,0
2020-11-08,0
2020-11-09,55
2020-11-10,97
2020-11-11,47
2020-11-12,60
2020-11-13,60
2020-11-14,10
2020-11-15,0
2020-11-16,160
2020-11-17,104
2020-11-18,35
2020-11-19,70
2020-11-20,46
2020-11-21,10
2020-11-22,20
2020-11-23,46
2020-11-24,86
2020-11-25,77
2020-11-26,77
2020-11-27,74
2020-11-28,30
2020-11-29,14
2020-11-30,127
2020-12-01,56
2020-12-02,71
2020-12-03,60
2020-12-04,26
2020-12-05,0
2020-12-06,10
2020-12-07,142
2020-12-08,101
2020-12-09,33
2020-12-10,66
2020-12-11,20
2020-12-12,30
2020-12-13,10
2020-12-14,105
2020-12-15,94
2020-12-16,135
2020-12-17,70
2020-12-18,34
2020-12-19,10
2020-12-20,16
2020-12-21,0
2020-12-22,75
2020-12-23,129
2020-12-24,45
2020-12-25,12
2020-12-26,17
2020-12-27,26
2020-12-28,143
2020-12-29,145
2020-12-30,100
2020-12-31,20
2021-01-01,10
2021-01-02,10
2021-01-03,0
2021-01-04,153
2021-01-05,212
2021-01-06,126
2021-01-07,134
2021-01-08,118
2021-01-09,20
2021-01-10,0
2021-01-11,141
2021-01-12,175
2021-01-13,0
2021-01-14,183
2021-01-15,101
2021-01-16,52
2021-01-17,20
2021-01-18,183
2021-01-19,161
2021-01-20,194
2021-01-21,72
2021-01-22,92
2021-01-23,12
2021-01-24,10
2021-01-25,75
2021-01-26,109
2021-01-27,82
2021-01-28,71
2021-01-29,69
2021-01-30,22
2021-01-31,26
2021-02-01,38
2021-02-02,153
2021-02-03,50
2021-02-04,110
2021-02-05,104
2021-02-06,10
2021-02-07,0
2021-02-08,104
2021-02-09,45
2021-02-10,20
2021-02-11,107
2021-02-12,109
2021-02-13,0
2021-02-14,40
2021-02-15,35
2021-02-16,120
2021-02-17,78
2021-02-18,112
2021-02-19,97
2021-02-20,40
2021-02-21,2
2021-02-22,96
2021-02-23,154
2021-02-24,68
2021-02-25,182
2021-02-26,42
2021-02-27,10
2021-02-28,10
2021-03-01,186
2021-03-02,104
2021-03-03,54
2021-03-04,98
2021-03-05,118
2021-03-06,16
2021-03-07,22
2021-03-08,77
2021-03-09,53
2021-03-10,110
2021-03-11,50
2021-03-12,55
2021-03-13,20
2021-03-14,20
2021-03-15,170
2021-03-16,65
2021-03-17,135
2021-03-18,70
2021-03-19,134
2021-03-20,10
2021-03-21,10
2021-03-22,72
2021-03-23,189
2021-03-24,101
2021-03-25,82
2021-03-26,152
2021-03-27,10
2021-03-28,10
2021-03-29,141
2021-03-30,174
2021-03-31,34
2021-04-01,70
2021-04-02,50
2021-04-03,42
2021-04-04,14
2021-04-05,80
2021-04-06,92
2021-04-07,13
2021-04-08,95
2021-04-09,70
2021-04-10,16
2021-04-11,20
2021-04-12,100
2021-04-13,173
2021-04-14,124
2021-04-15,106
2021-04-16,82
2021-04-17,44
2021-04-18,51
2021-04-19,125
2021-04-20,30
2021-04-21,46
2021-04-22,139
2021-04-23,122
2021-04-24,61
2021-04-25,10
2021-04-26,98
2021-04-27,189
2021-04-28,68
2021-04-29,76
2021-04-30,217
2021-05-01,30
2021-05-02,42
2021-05-03,173
2021-05-04,118
2021-05-05,98
2021-05-06,81
2021-05-07,89
2021-05-08,10
2021-05-09,26
2021-05-10,164
2021-05-11,74
2021-05-12,15
2021-05-13,0
2021-05-14,0
2021-05-15,0
2021-05-16,13
2021-05-17,115
2021-05-18,96
2021-05-19,25
2021-05-20,112
2021-05-21,174
2021-05-22,0
2021-05-23,6
2021-05-24,116
2021-05-25,63
2021-05-26,34
2021-05-27,124
2021-05-28,14
2021-05-29,22
2021-05-30,6
2021-05-31,188
2021-06-01,52
2021-06-02,72
2021-06-03,0
