tgl_perawatan,total_jumlah_per_hari
2020-01-01,20
2020-01-02,18
2020-01-03,1
2020-01-04,3
2020-01-05,1
2020-01-06,16
2020-01-07,8
2020-01-08,0
2020-01-09,60
2020-01-10,59
2020-01-11,1
2020-01-12,1
2020-01-13,17
2020-01-14,0
2020-01-15,18
2020-01-16,3
2020-01-17,3
2020-01-18,4
2020-01-19,0
2020-01-20,0
2020-01-21,6
2020-01-22,33
2020-01-23,30
2020-01-24,15
2020-01-25,0
2020-01-26,1
2020-01-27,2
2020-01-28,22
2020-01-29,19
2020-01-30,16
2020-01-31,8
2020-02-01,0
2020-02-02,9
2020-02-03,9
2020-02-04,22
2020-02-05,19
2020-02-06,29
2020-02-07,21
2020-02-08,8
2020-02-09,8
2020-02-10,9
2020-02-11,45
2020-02-12,24
2020-02-13,44
2020-02-14,17
2020-02-15,1
2020-02-16,9
2020-02-17,6
2020-02-18,25
2020-02-19,66
2020-02-20,14
2020-02-21,4
2020-02-22,2
2020-02-23,1
2020-02-24,9
2020-02-25,58
2020-02-26,38
2020-02-27,7
2020-02-28,14
2020-02-29,6
2020-03-01,8
2020-03-02,15
2020-03-03,35
2020-03-04,43
2020-03-05,41
2020-03-06,21
2020-03-07,1
2020-03-08,1
2020-03-09,11
2020-03-10,25
2020-03-11,23
2020-03-12,16
2020-03-13,10
2020-03-14,5
2020-03-15,0
2020-03-16,5
2020-03-17,20
2020-03-18,35
2020-03-19,10
2020-03-20,3
2020-03-21,1
2020-03-22,4
2020-03-23,1
2020-03-24,38
2020-03-25,7
2020-03-26,33
2020-03-27,26
2020-03-28,0
2020-03-29,14
2020-03-30,0
2020-03-31,44
2020-04-01,9
2020-04-02,9
2020-04-03,17
2020-04-04,23
2020-04-05,7
2020-04-06,9
2020-04-07,13
2020-04-08,30
2020-04-09,20
2020-04-10,1
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,9
2020-04-15,10
2020-04-16,14
2020-04-17,2
2020-04-18,1
2020-04-19,5
2020-04-20,2
2020-04-21,10
2020-04-22,18
2020-04-23,3
2020-04-24,9
2020-04-25,10
2020-04-26,2
2020-04-27,8
2020-04-28,10
2020-04-29,15
2020-04-30,16
2020-05-01,1
2020-05-02,3
2020-05-03,2
2020-05-04,0
2020-05-05,13
2020-05-06,15
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,17
2020-05-13,4
2020-05-14,31
2020-05-15,5
2020-05-16,6
2020-05-17,3
2020-05-18,0
2020-05-19,9
2020-05-20,16
2020-05-21,2
2020-05-22,0
2020-05-23,2
2020-05-24,0
2020-05-25,0
2020-05-26,3
2020-05-27,27
2020-05-28,14
2020-05-29,5
2020-05-30,2
2020-05-31,4
2020-06-01,3
2020-06-02,10
2020-06-03,29
2020-06-04,37
2020-06-05,6
2020-06-06,2
2020-06-07,3
2020-06-08,3
2020-06-09,16
2020-06-10,11
2020-06-11,18
2020-06-12,1
2020-06-13,0
2020-06-14,28
2020-06-15,15
2020-06-16,20
2020-06-17,17
2020-06-18,14
2020-06-19,11
2020-06-20,6
2020-06-21,1
2020-06-22,19
2020-06-23,25
2020-06-24,16
2020-06-25,12
2020-06-26,2
2020-06-27,10
2020-06-28,0
2020-06-29,2
2020-06-30,13
2020-07-01,29
2020-07-02,22
2020-07-03,15
2020-07-04,5
2020-07-05,10
2020-07-06,5
2020-07-07,23
2020-07-08,12
2020-07-09,30
2020-07-10,6
2020-07-11,5
2020-07-12,0
2020-07-13,0
2020-07-14,23
2020-07-15,19
2020-07-16,35
2020-07-17,0
2020-07-18,8
2020-07-19,6
2020-07-20,7
2020-07-21,10
2020-07-22,15
2020-07-23,25
2020-07-24,0
2020-07-25,8
2020-07-26,0
2020-07-27,12
2020-07-28,12
2020-07-29,22
2020-07-30,0
2020-07-31,0
2020-08-01,3
2020-08-02,0
2020-08-03,0
2020-08-04,14
2020-08-05,25
2020-08-06,8
2020-08-07,4
2020-08-08,5
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,6
2020-08-13,12
2020-08-14,13
2020-08-15,0
2020-08-16,2
2020-08-17,5
2020-08-18,21
2020-08-19,17
2020-08-20,1
2020-08-21,0
2020-08-22,12
2020-08-23,0
2020-08-24,0
2020-08-25,30
2020-08-26,16
2020-08-27,4
2020-08-28,5
2020-08-29,3
2020-08-30,0
2020-08-31,13
2020-09-01,18
2020-09-02,12
2020-09-03,32
2020-09-04,3
2020-09-05,0
2020-09-06,10
2020-09-07,4
2020-09-08,15
2020-09-09,17
2020-09-10,9
2020-09-11,3
2020-09-12,0
2020-09-13,1
2020-09-14,2
2020-09-15,5
2020-09-16,3
2020-09-17,8
2020-09-18,3
2020-09-19,0
2020-09-20,0
2020-09-21,2
2020-09-22,16
2020-09-23,13
2020-09-24,11
2020-09-25,3
2020-09-26,2
2020-09-27,0
2020-09-28,20
2020-09-29,4
2020-09-30,10
2020-10-01,18
2020-10-02,15
2020-10-03,13
2020-10-04,0
2020-10-05,5
2020-10-06,1
2020-10-07,15
2020-10-08,0
2020-10-09,7
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,5
2020-10-14,4
2020-10-15,8
2020-10-16,4
2020-10-17,1
2020-10-18,7
2020-10-19,11
2020-10-20,27
2020-10-21,6
2020-10-22,14
